school_code,school_name,sido,sigungu,education_office,school_type,postcode,address,student_count,teacher_count,counselor_count,students_per_counselor,wee_class_raw,wee_class,avg_teacher_counseling_count_3yr,avg_external_counseling_count_3yr,avg_total_counseling_count_3yr,counseling_years_available,counseling_count_per_student,norm_avg_total_counseling_count_3yr,norm_counseling_count_per_student,counseling_use_score,counseling_use_components_available
480041497,창원명곡고등학교,경남,창원시,경남,일반고,51171,경상남도 창원시 의창구 서곡길25번길 16. 창원명곡고등학교 (명곡동),502,48,0,,Y,1,380.6666666666667,0.0,380.6666666666667,3,0.7583001328021248,0.4151217739003999,0.23354490782118673,0.3243333408607933,2
480041560,합포고등학교,경남,창원시,경남,일반고,51281,경상남도 창원시 마산합포구 무학로 458(교방동. 합포고등학교),516,56,1,516.0,Y,1,374.0,3.6666666666666665,377.6666666666667,3,0.7319121447028424,0.4118502362777172,0.22541780882482976,0.3186340225512735,2
480041684,마산제일여자고등학교,경남,창원시,경남,일반고,51759,경상남도 창원시 마산합포구 고운로 65(문화동) 마산제일여자고등학교,545,48,0,,Y,1,252.66666666666666,2.6666666666666665,255.33333333333334,3,0.4685015290519878,0.27844420210832427,0.1442913454494715,0.21136777377889787,2
480041496,웅천고등학교,경남,창원시,경남,일반고,51621,경상남도 창원시 진해구 웅천중로 71(성내동. 웅천고등학교),646,50,1,646.0,Y,1,224.66666666666666,4.0,228.66666666666666,3,0.35397316821465424,0.24936386768447835,0.10901835218778323,0.1791911099361308,2
480041485,창원용호고등학교,경남,창원시,경남,일반고,51433,경상남도 창원시 성산구 용호로 29(용호동. 창원용호고등학교),573,53,1,573.0,Y,1,573.6666666666666,26.333333333333332,600.0,3,1.0471204188481675,0.6543075245365322,0.3224971632193976,0.4884023438779649,2
480041891,창원대산고등학교,경남,창원시,경남,일반고,51123,경상남도 창원시 의창구 대산면 진산대로 378(대산면.창원대산고등학교),481,43,0,,Y,1,242.33333333333334,6.0,248.33333333333334,3,0.5162855162855163,0.2708106143220647,0.15900808676474076,0.21490935054340274,2
480041894,창원문성고등학교,경남,창원시,경남,일반고,51410,경상남도 창원시 의창구 원이대로 406(두대동.창원문성고등학교),498,50,0,,Y,1,201.33333333333334,0.0,201.33333333333334,3,0.40428380187416335,0.21955652490003635,0.12451326217417197,0.17203489353710416,2
480041490,창원중앙고등학교,경남,창원시,경남,일반고,51437,경상남도 창원시 성산구 용호로 16(용호동. 창원중앙고등학교),581,60,1,581.0,Y,1,376.6666666666667,3.0,379.6666666666667,3,0.6534710269650029,0.41403126135950563,0.20125913758237732,0.3076451994709415,2
480041848,진해중앙고등학교,경남,창원시,경남,일반고,51581,경상남도 창원시 진해구 병암북로 9. 진해중앙고등학교 (경화동),630,45,1,630.0,Y,1,233.66666666666666,7.666666666666667,241.33333333333334,3,0.38306878306878306,0.26317702653580516,0.11797935904399781,0.19057819278990148,2
480041870,창신고등학교,경남,창원시,경남,일반고,51347,경상남도 창원시 마산회원구 봉덕2길 106(봉암동. 창신고등학교),568,49,0,,Y,1,39.333333333333336,5.333333333333333,44.666666666666664,3,0.07863849765258216,0.048709560159941837,0.024219461254217315,0.036464510707079574,2
